,temp,precip,doy
0,2.336,0.0,1.0
1,-0.106,0.0,1.04
2,0.337,0.0,1.08
3,0.618,0.0,1.12
4,0.811,0.0,1.17
5,0.228,0.0,1.21
6,0.081,0.0,1.25
7,0.723,0.0,1.29
8,0.069,0.0,1.33
9,-0.307,0.0,1.38
10,-0.359,0.0,1.42
11,-0.718,0.1,1.46
12,-0.187,0.0,1.5
13,-0.899,0.1,1.54
14,-1.722,0.0,1.58
15,-4.557,0.0,1.62
16,-6.098,0.0,1.67
17,-6.058,0.0,1.71
18,-5.978,0.0,1.75
19,-7.44,0.0,1.79
20,-7.28,0.0,1.83
21,-5.839,0.0,1.88
22,-6.449,0.0,1.92
23,-7.13,0.0,1.96
24,-6.841,0.0,2.0
25,-8.71,0.0,2.04
26,-9.13,0.0,2.08
27,-10.1,0.0,2.12
28,-10.12,0.0,2.17
29,-10.35,0.0,2.21
30,-10.69,0.0,2.25
31,-11.99,0.0,2.29
32,-12.41,0.0,2.33
33,-12.67,0.0,2.38
34,-12.6,0.0,2.42
35,-12.66,0.0,2.46
36,-11.97,0.0,2.5
37,-13.07,0.0,2.54
38,-13.06,0.0,2.58
39,-12.82,0.0,2.62
40,-12.9,0.0,2.67
41,-12.68,0.0,2.71
42,-12.5,0.0,2.75
43,-12.15,0.0,2.79
44,-11.97,0.0,2.83
45,-11.63,0.0,2.88
46,-11.48,0.0,2.92
47,-11.69,0.0,2.96
48,-11.71,0.0,3.0
49,-11.81,0.0,3.04
50,-11.39,0.0,3.08
51,-10.95,0.0,3.12
52,-11.18,0.0,3.17
53,-10.97,0.0,3.21
54,-10.77,0.0,3.25
55,-10.49,0.0,3.29
56,-10.34,0.0,3.33
57,-10.49,0.0,3.38
58,-12.44,0.0,3.42
59,-11.11,0.0,3.46
60,-9.47,0.0,3.5
61,-6.842,0.0,3.54
62,-6.712,0.0,3.58
63,-7.36,0.0,3.62
64,-6.21,0.0,3.67
65,-4.381,0.0,3.71
66,-3.928,0.0,3.75
67,-3.667,0.0,3.79
68,-2.773,0.0,3.83
69,-2.494,0.0,3.88
70,-1.801,0.0,3.92
71,-2.116,0.0,3.96
72,-2.078,0.0,4.0
73,-2.286,0.0,4.04
74,-2.515,0.0,4.08
75,-1.828,0.0,4.12
76,-1.105,0.0,4.17
77,-2.008,0.0,4.21
78,-1.537,0.0,4.25
79,-1.725,0.0,4.29
80,-1.902,0.0,4.33
81,-1.539,0.0,4.38
82,-1.594,0.0,4.42
83,-2.194,0.0,4.46
84,-1.9,0.0,4.5
85,-1.818,0.5,4.54
86,-3.412,0.6,4.58
87,-3.767,0.1,4.62
88,-4.385,0.0,4.67
89,-4.868,0.0,4.71
90,-5.037,0.0,4.75
91,-6.857,0.0,4.79
92,-6.327,0.0,4.83
93,-6.712,0.0,4.88
94,-5.944,0.0,4.92
95,-5.818,0.0,4.96
96,-6.581,0.0,5.0
97,-6.533,0.0,5.04
98,-7.75,0.0,5.08
99,-9.57,0.0,5.12
100,-6.539,0.0,5.17
101,-7.35,0.0,5.21
102,-7.09,0.0,5.25
103,-6.302,0.0,5.29
104,-3.948,0.0,5.33
105,-5.121,0.0,5.38
106,-5.481,0.0,5.42
107,-3.795,0.0,5.46
108,-2.274,0.0,5.5
109,-2.363,0.0,5.54
110,-1.29,0.0,5.58
111,-1.17,0.0,5.62
112,-1.397,0.0,5.67
113,-1.365,0.0,5.71
114,-1.503,0.0,5.75
115,-1.798,0.0,5.79
116,-1.764,0.0,5.83
117,-0.668,0.0,5.88
118,-2.561,0.0,5.92
119,-1.435,0.0,5.96
120,-3.969,0.0,6.0
121,-2.316,0.0,6.04
122,-4.05,0.0,6.08
123,-3.205,0.0,6.12
124,-3.073,0.0,6.17
125,-5.041,0.0,6.21
126,-4.817,0.0,6.25
127,-5.412,0.0,6.29
128,-6.359,0.0,6.33
129,-5.77,0.0,6.38
130,-4.712,0.0,6.42
131,-3.629,0.0,6.46
132,-2.609,0.0,6.5
133,-3.166,0.0,6.54
134,-2.343,0.0,6.58
135,-4.312,0.0,6.62
136,-5.426,0.0,6.67
137,-5.986,0.0,6.71
138,-5.49,0.0,6.75
139,-4.222,0.0,6.79
140,-3.535,0.0,6.83
141,-3.742,0.0,6.88
142,-5.065,0.0,6.92
143,-6.042,0.0,6.96
144,-6.206,0.0,7.0
145,-2.54,0.0,7.04
146,-2.302,0.0,7.08
