,temp,rain,doy,datetime
2007-06-14 00:00:00,3.526,0.5,165.0,2007-06-14 00:00:00
2007-06-14 00:57:36,3.427,0.0,165.04,2007-06-14 00:57:36
2007-06-14 01:55:12,4.535,0.0,165.08,2007-06-14 01:55:12
2007-06-14 02:52:48,3.891,0.0,165.12,2007-06-14 02:52:48
2007-06-14 04:04:48,4.283,0.0,165.17,2007-06-14 04:04:48
2007-06-14 05:02:24,4.093,0.0,165.21,2007-06-14 05:02:24
2007-06-14 06:00:00,4.526,0.0,165.25,2007-06-14 06:00:00
2007-06-14 06:57:36,6.041,0.0,165.29,2007-06-14 06:57:36
2007-06-14 07:55:12,7.84,0.0,165.33,2007-06-14 07:55:12
2007-06-14 09:07:12,8.48,0.0,165.38,2007-06-14 09:07:12
2007-06-14 10:04:48,9.23,0.0,165.42,2007-06-14 10:04:48
2007-06-14 11:02:24,10.6,0.0,165.46,2007-06-14 11:02:24
2007-06-14 12:00:00,9.31,0.0,165.5,2007-06-14 12:00:00
2007-06-14 12:57:36,11.03,0.0,165.54,2007-06-14 12:57:36
2007-06-14 13:55:12,10.57,0.0,165.58,2007-06-14 13:55:12
2007-06-14 14:52:48,9.99,0.0,165.62,2007-06-14 14:52:48
2007-06-14 16:04:48,9.46,0.0,165.67,2007-06-14 16:04:48
2007-06-14 17:02:24,9.23,0.1,165.71,2007-06-14 17:02:24
2007-06-14 18:00:00,9.46,0.0,165.75,2007-06-14 18:00:00
2007-06-14 18:57:36,7.67,0.0,165.79,2007-06-14 18:57:36
2007-06-14 19:55:12,8.28,0.0,165.83,2007-06-14 19:55:12
2007-06-14 21:07:12,7.99,0.1,165.88,2007-06-14 21:07:12
2007-06-14 22:04:48,5.374,0.2,165.92,2007-06-14 22:04:48
2007-06-14 23:02:24,4.364,0.9,165.96,2007-06-14 23:02:24
2007-06-15 00:00:00,5.817,0.0,166.0,2007-06-15 00:00:00
2007-06-15 00:57:36,7.72,0.0,166.04,2007-06-15 00:57:36
2007-06-15 01:55:12,6.027,0.0,166.08,2007-06-15 01:55:12
2007-06-15 02:52:48,5.522,0.2,166.12,2007-06-15 02:52:48
2007-06-15 04:04:48,5.861,1.2,166.17,2007-06-15 04:04:48
2007-06-15 05:02:24,4.789,3.5,166.21,2007-06-15 05:02:24
2007-06-15 06:00:00,4.772,1.4,166.25,2007-06-15 06:00:00
2007-06-15 06:57:36,3.544,1.7,166.29,2007-06-15 06:57:36
2007-06-15 07:55:12,5.618,0.2,166.33,2007-06-15 07:55:12
2007-06-15 09:07:12,6.266,0.9,166.38,2007-06-15 09:07:12
2007-06-15 10:04:48,3.999,1.6,166.42,2007-06-15 10:04:48
2007-06-15 11:02:24,4.1,0.8,166.46,2007-06-15 11:02:24
2007-06-15 12:00:00,3.871,3.1,166.5,2007-06-15 12:00:00
2007-06-15 12:57:36,2.507,4.9,166.54,2007-06-15 12:57:36
2007-06-15 13:55:12,2.347,4.9,166.58,2007-06-15 13:55:12
2007-06-15 14:52:48,2.214,0.2,166.62,2007-06-15 14:52:48
2007-06-15 16:04:48,3.307,0.1,166.67,2007-06-15 16:04:48
2007-06-15 17:02:24,3.672,0.0,166.71,2007-06-15 17:02:24
2007-06-15 18:00:00,5.725,0.0,166.75,2007-06-15 18:00:00
2007-06-15 18:57:36,2.707,0.0,166.79,2007-06-15 18:57:36
2007-06-15 19:55:12,1.93,0.0,166.83,2007-06-15 19:55:12
2007-06-15 21:07:12,1.93,0.0,166.88,2007-06-15 21:07:12
2007-06-15 22:04:48,1.595,0.0,166.92,2007-06-15 22:04:48
2007-06-15 23:02:24,1.205,0.0,166.96,2007-06-15 23:02:24
2007-06-16 00:00:00,1.087,0.0,167.0,2007-06-16 00:00:00
2007-06-16 00:57:36,1.017,0.0,167.04,2007-06-16 00:57:36
2007-06-16 01:55:12,0.598,0.0,167.08,2007-06-16 01:55:12
2007-06-16 02:52:48,0.782,0.0,167.12,2007-06-16 02:52:48
2007-06-16 04:04:48,-0.165,0.0,167.17,2007-06-16 04:04:48
2007-06-16 05:02:24,-0.523,0.0,167.21,2007-06-16 05:02:24
2007-06-16 06:00:00,0.36,0.0,167.25,2007-06-16 06:00:00
2007-06-16 06:57:36,1.334,0.0,167.29,2007-06-16 06:57:36
2007-06-16 07:55:12,2.138,0.0,167.33,2007-06-16 07:55:12
2007-06-16 09:07:12,2.185,0.0,167.38,2007-06-16 09:07:12
2007-06-16 10:04:48,3.995,0.0,167.42,2007-06-16 10:04:48
2007-06-16 11:02:24,5.536,0.0,167.46,2007-06-16 11:02:24
2007-06-16 12:00:00,7.37,0.0,167.5,2007-06-16 12:00:00
2007-06-16 12:57:36,7.8,0.0,167.54,2007-06-16 12:57:36
2007-06-16 13:55:12,8.49,0.0,167.58,2007-06-16 13:55:12
2007-06-16 14:52:48,8.36,0.0,167.62,2007-06-16 14:52:48
2007-06-16 16:04:48,9.0,0.0,167.67,2007-06-16 16:04:48
2007-06-16 17:02:24,9.36,0.0,167.71,2007-06-16 17:02:24
2007-06-16 18:00:00,8.51,0.0,167.75,2007-06-16 18:00:00
2007-06-16 18:57:36,7.12,0.0,167.79,2007-06-16 18:57:36
2007-06-16 19:55:12,5.733,0.0,167.83,2007-06-16 19:55:12
2007-06-16 21:07:12,4.852,0.0,167.88,2007-06-16 21:07:12
2007-06-16 22:04:48,4.077,0.0,167.92,2007-06-16 22:04:48
2007-06-16 23:02:24,2.896,0.0,167.96,2007-06-16 23:02:24
2007-06-17 00:00:00,3.943,0.0,168.0,2007-06-17 00:00:00
2007-06-17 00:57:36,3.542,0.0,168.04,2007-06-17 00:57:36
2007-06-17 01:55:12,1.993,0.0,168.08,2007-06-17 01:55:12
2007-06-17 02:52:48,1.185,0.0,168.12,2007-06-17 02:52:48
2007-06-17 04:04:48,1.117,0.0,168.17,2007-06-17 04:04:48
2007-06-17 05:02:24,0.904,0.0,168.21,2007-06-17 05:02:24
2007-06-17 06:00:00,1.395,0.0,168.25,2007-06-17 06:00:00
2007-06-17 06:57:36,2.822,0.0,168.29,2007-06-17 06:57:36
2007-06-17 07:55:12,5.506,0.0,168.33,2007-06-17 07:55:12
2007-06-17 09:07:12,6.614,0.0,168.38,2007-06-17 09:07:12
2007-06-17 10:04:48,7.87,0.0,168.42,2007-06-17 10:04:48
2007-06-17 11:02:24,9.14,0.0,168.46,2007-06-17 11:02:24
2007-06-17 12:00:00,9.45,0.0,168.5,2007-06-17 12:00:00
