datetime_index,year,month,day,hour,mn,sec,event_ID,doy,datetime
2007-06-14 00:40:00,7,6,14,0,40,0,70614004000,165,2007-06-14 00:40:00
2007-06-14 01:07:00,7,6,14,1,7,0,70614010700,165,2007-06-14 01:07:00
2007-06-14 01:55:00,7,6,14,1,55,0,70614015500,165,2007-06-14 01:55:00
2007-06-14 03:27:59,7,6,14,3,27,59,70614032759,165,2007-06-14 03:27:59
2007-06-14 04:52:00,7,6,14,4,52,0,70614045200,165,2007-06-14 04:52:00
2007-06-14 17:28:59,7,6,14,17,28,59,70614172859,165,2007-06-14 17:28:59
2007-06-14 18:45:00,7,6,14,18,45,0,70614184500,165,2007-06-14 18:45:00
2007-06-14 19:56:00,7,6,14,19,56,0,70614195600,165,2007-06-14 19:56:00
2007-06-14 20:29:59,7,6,14,20,29,59,70614202959,165,2007-06-14 20:29:59
2007-06-14 20:50:59,7,6,14,20,50,59,70614205059,165,2007-06-14 20:50:59
2007-06-14 21:04:59,7,6,14,21,4,59,70614210459,165,2007-06-14 21:04:59
2007-06-14 21:20:59,7,6,14,21,20,59,70614212059,165,2007-06-14 21:20:59
2007-06-14 21:31:59,7,6,14,21,31,59,70614213159,165,2007-06-14 21:31:59
2007-06-14 21:43:59,7,6,14,21,43,59,70614214359,165,2007-06-14 21:43:59
2007-06-14 21:54:59,7,6,14,21,54,59,70614215459,165,2007-06-14 21:54:59
2007-06-14 22:13:59,7,6,14,22,13,59,70614221359,165,2007-06-14 22:13:59
2007-06-14 22:24:59,7,6,14,22,24,59,70614222459,165,2007-06-14 22:24:59
2007-06-14 22:42:59,7,6,14,22,42,59,70614224259,165,2007-06-14 22:42:59
2007-06-14 22:55:00,7,6,14,22,55,0,70614225500,165,2007-06-14 22:55:00
2007-06-14 23:07:00,7,6,14,23,7,0,70614230700,165,2007-06-14 23:07:00
2007-06-14 23:27:00,7,6,14,23,27,0,70614232700,165,2007-06-14 23:27:00
2007-06-15 00:00:00,7,6,15,0,0,0,70615000000,166,2007-06-15 00:00:00
2007-06-15 00:26:00,7,6,15,0,26,0,70615002600,166,2007-06-15 00:26:00
2007-06-15 00:55:00,7,6,15,0,55,0,70615005500,166,2007-06-15 00:55:00
2007-06-15 01:06:00,7,6,15,1,6,0,70615010600,166,2007-06-15 01:06:00
2007-06-15 01:23:00,7,6,15,1,23,0,70615012300,166,2007-06-15 01:23:00
2007-06-15 01:36:00,7,6,15,1,36,0,70615013600,166,2007-06-15 01:36:00
2007-06-15 02:04:00,7,6,15,2,4,0,70615020400,166,2007-06-15 02:04:00
2007-06-15 02:17:59,7,6,15,2,17,59,70615021759,166,2007-06-15 02:17:59
2007-06-15 02:28:59,7,6,15,2,28,59,70615022859,166,2007-06-15 02:28:59
2007-06-15 03:57:59,7,6,15,3,57,59,70615035759,166,2007-06-15 03:57:59
2007-06-15 04:34:00,7,6,15,4,34,0,70615043400,166,2007-06-15 04:34:00
2007-06-15 05:06:00,7,6,15,5,6,0,70615050600,166,2007-06-15 05:06:00
2007-06-15 05:20:00,7,6,15,5,20,0,70615052000,166,2007-06-15 05:20:00
2007-06-15 06:15:00,7,6,15,6,15,0,70615061500,166,2007-06-15 06:15:00
2007-06-15 07:57:59,7,6,15,7,57,59,70615075759,166,2007-06-15 07:57:59
2007-06-15 08:13:59,7,6,15,8,13,59,70615081359,166,2007-06-15 08:13:59
2007-06-15 08:30:59,7,6,15,8,30,59,70615083059,166,2007-06-15 08:30:59
2007-06-15 08:41:59,7,6,15,8,41,59,70615084159,166,2007-06-15 08:41:59
2007-06-15 08:52:59,7,6,15,8,52,59,70615085259,166,2007-06-15 08:52:59
2007-06-15 09:11:00,7,6,15,9,11,0,70615091100,166,2007-06-15 09:11:00
2007-06-15 09:23:00,7,6,15,9,23,0,70615092300,166,2007-06-15 09:23:00
2007-06-15 09:38:00,7,6,15,9,38,0,70615093800,166,2007-06-15 09:38:00
2007-06-15 09:50:00,7,6,15,9,50,0,70615095000,166,2007-06-15 09:50:00
2007-06-15 10:06:00,7,6,15,10,6,0,70615100600,166,2007-06-15 10:06:00
2007-06-15 10:18:00,7,6,15,10,18,0,70615101800,166,2007-06-15 10:18:00
